_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
688,688,000587-B25,WARD'S ISLAND - SEWAGE PUMPING STATION #12,31 THIRD ST,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,7,75,1983,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4998309155874, 43.6001337288498]]}"
689,689,007071-B01,JAMES S BELL COMMUNITY SCHOOL - P&R OFFICE,90 THIRTY FIRST ST,TORONTO,Etobicoke-Lakeshore,Toronto (Amal),West,Citizen-Focused Services Group A,School Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Toronto District School Board,14,151,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5301917018794, 43.5943542260396]]}"
690,690,005464-B06,DUFFERIN WASTE MANAGEMENT FACILITY - WEIGH SCALE OFFICE,35 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Weigh Scale Building,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,37,398,1999,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4707423389444, 43.7617233107838]]}"
691,691,005464-B04,DUFFERIN WASTE MANAGEMENT FACILITY - MATERIAL RECYCLING-B500,35 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Miscellaneous Facility,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,4476,48180,1999,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4707423389444, 43.7617233107838]]}"
692,692,005464-B05,DUFFERIN WASTE MANAGEMENT FACILITY - ORGANIC PROCESSING-B700,35 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Miscellaneous Facility,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,1804,19420,2002,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4707423389444, 43.7617233107838]]}"
693,693,005464-B03,DUFFERIN YARD - STORAGE BUILDING,75 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Yard Storage Building,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,138,1485,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4747280346385, 43.7626683417813]]}"
694,694,000549-B44,EXPLACE - CARLSBERG CARRILON TOWER,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Miscellaneous Facility,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,15,161,1974,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
695,695,000549-B50,EXPLACE - INTERNATIONAL SUBSTATION (ELECTRICAL),2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,164,1765,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
696,696,000549-B39,EXPLACE - GENERAL SERVICES BUILDING,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,5038,54229,1910,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
697,697,000549-B42,EXPLACE - FOOD PRODUCTS BUILDING,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Warehouse & Office,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,14024,150953,1954,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
698,698,000579-B09,HUMBER WASTEWATER TP - HEAD HOUSE/SOUTH GRIT/SCREEN FACILITY,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2400,25833,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
699,699,000579-B20,HUMBER WASTEWATER TP - NEW MAINTENANCE BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,270,2906,2015,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
700,700,000579-B58,HUMBER WASTEWATER TP - RAS PUMPING STN SOUTH SWITCHGEAR BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,115,1238,1996,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
701,701,000579-B59,HUMBER WASTEWATER TP - SCRUBBER BLDG 3 BTW DIGESTER 5-6,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,56,603,2006,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
702,702,000690-B01,JOEL WEEKS PARK - SUPERVISOR'S BLDG,10 THOMPSON ST,TORONTO,Toronto-Danforth,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,17,180,1981,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3527131933557, 43.659092327439]]}"
703,703,005294-B01,OAKRIDGE SENIOR BOCCE CENTRE (VACANT),6 THORA AVE,TORONTO,Scarborough Southwest,Toronto (Amal),East,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,409,4400,1965,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2868785042232, 43.6899903884874]]}"
704,704,005926-B01,THORNCLIFFE LIBRARY & JENNER JEAN-MARIE COMMUNITY CENTRE,48 THORNCLIFFE PARK DR,TORONTO,Don Valley West,East York,North,"Agencies, Boards, and Commissions",Community Recreation Centre,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,1075,11571,1970,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3427368221535, 43.7029474056261]]}"
705,705,001084-B01,DENTONIA PARK - CLUBHOUSE & WASHROOM,80 THYRA AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,160,1722,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2924301244489, 43.6939913995132]]}"
706,706,005464-B02,DUFFERIN YARD - MAINTENANCE BUILDING,75 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Garage & Office & Warehouse,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,4190,45105,1999,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4747280346385, 43.7626683417813]]}"
707,707,005464-B09,DUFFERIN YARD - STEEL STORAGE SHED,75 VANLEY CRES,TORONTO,York Centre,Toronto (Amal),North,Citizen-Focused Services Group B,Yard Storage Building,City Use,Solid Waste Management,Solid Waste Management,City of Toronto,150,1610,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4747280346385, 43.7626683417813]]}"
708,708,006252-B01,VAUGHAN ROAD ACADEMY - INDOOR SWIMMING POOL,529 VAUGHAN RD,TORONTO,Toronto-St. Paul's,York,South,Other Organizations,Swimming Pool - Indoor,City Use,Toronto District School Board,Toronto District School Board,Toronto District School Board,,,,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.436702828382, 43.6910217034241]]}"
709,709,004470-B02,NETWORK CHILD CARE SERVICES - DANE AVENUE CHILD CARE CENTRE,120 VIA BAGNATO,TORONTO,Eglinton-Lawrence,Toronto (Amal),North,Citizen-Focused Services Group A,Child Care Centre,City Use,Children's Services,Facilities Management & Real Estate Services,City of Toronto,620,6674,2016,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4542826859857, 43.716109534507]]}"
710,710,000549-B12,EXPLACE - LOST CHILDREN CUBICLE,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Office Building - Small,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,70,753,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
711,711,000549-B10,EXPLACE - HALLS OF FAME,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Office Building - Large,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,3942,42431,1961,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
712,712,000549-B41,EXPLACE - HOSPITAL CUBICLE (WEST),2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Office Building - Small,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,412,4435,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
713,713,000549-B27,"EXPLACE - CARPENTER DEPARTMENT CUBICLE (EAST,UNDER GARDINER)",2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,543,5845,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
714,714,000579-B47,HUMBER WASTEWATER TP - DIGESTER 10 ROOF ACCESS HOUSE,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,9,97,2005,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
715,715,000579-B46,HUMBER WASTEWATER TP - DIGESTER 9 ROOF ACCESS HOUSE,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,9,97,2005,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
716,716,000579-B60,HUMBER WASTEWATER TP - SCRUBBER BLDG 4 BTW DIGESTER 7-8,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,65,700,2006,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
717,717,000579-B61,HUMBER WASTEWATER TP - SCRUBBER BLDG 5 BTW DIGESTER 9-10,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,56,603,1999,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
718,718,000579-B62,HUMBER WASTEWATER TP - TRUCK UPLOADING BLDG BY DIG 9-10,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,160,1722,1999,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
719,719,002017-B01,TOPHAM PARK COMMUNITY CENTRE & CLUBHOUSE,1 TIAGO AVE,TORONTO,Beaches-East York,East York,South,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,279,3000,1960,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.306956003292, 43.710796286794]]}"
720,720,006217-B01,TORONTO WATER CENTRE - BLDG C,60 TIFFIELD RD,TORONTO,Scarborough North,Scarborough,East,Citizen-Focused Services Group B,Warehouse/Large Storage,City Use,Toronto Water,Toronto Water,City of Toronto,3733,40178,1983,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2555312416617, 43.8146666845644]]}"
721,721,006217-B02,TORONTO WATER CENTRE - BLDG A,60 TIFFIELD RD,TORONTO,Scarborough North,Toronto (Amal),East,Citizen-Focused Services Group B,Office Building - Large,City Use,Toronto Water,Toronto Water,City of Toronto,679,7305,1985,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2555312416617, 43.8146666845644]]}"
722,722,006217-B03,TORONTO WATER CENTRE - BLDG B,60 TIFFIELD RD,TORONTO,Scarborough North,Toronto (Amal),East,Citizen-Focused Services Group B,Office Building - Large,City Use,Toronto Water,Toronto Water,City of Toronto,1601,17229,1983,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2555312416617, 43.8146666845644]]}"
723,723,001538-B01,TPA CARPARK 42 - CORSO ITALIA GARAGE,91 VIA ITALIA,TORONTO,Davenport,Toronto (Amal),South,"Agencies, Boards, and Commissions",Parking Structure- Multi-Level,City Use,Toronto Parking Authority,Toronto Parking Authority,City of Toronto,1551,16700,1995,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4451394769019, 43.6768366627834]]}"
724,724,005391-B01,VICTORIA PARK SUBWAY STATION & SUBSTATION,777 VICTORIA PARK AVE,TORONTO,Scarborough Southwest,Metro Toronto,East,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,5427,58416,1967,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2891570511807, 43.6945435700427]]}"
725,725,005043-B01,DENTONIA PARK GOLF COURSE - CLUBHOUSE,781 VICTORIA PARK AVE,TORONTO,Scarborough Southwest,Metro Toronto,East,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,982,10574,1984,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2892549358487, 43.6951693940834]]}"
726,726,006065-B02,O'CONNOR COMMUNITY CENTRE & CHILD CARE CENTRE,1386 VICTORIA PARK AVE,TORONTO,Beaches-East York,North York,South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,Toronto Community Housing Corporation,"Parks, Forestry & Recreation",Toronto Community Housing Corporation,1767,19020,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3018529771889, 43.7176591058743]]}"
727,727,000549-B16,EXPLACE - METRO PRKS & PROP. CUBICLE (WEST),2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,424,4564,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
728,728,000549-B31,EXPLACE - ONTARIO GOVERNMENT BLDG - LIBERTY GRAND,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Office Building - Large,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,12261,131976,1926,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
729,729,002633-B01,SILVER CREEK PARK - POOL STORAGE ROOM,44 STRATHDEE DR,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,14,150,1963,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5451871203789, 43.681833646594]]}"
730,730,002633-B03,SILVER CREEK PARK - POOL SERVICE BLDG & WASHROOM,44 STRATHDEE DR,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,211,2271,1963,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5451871203789, 43.681833646594]]}"
731,731,000579-B48,HUMBER WASTEWATER TP - DIGESTER 7-8 ELECTRIC & CONTROL ROOM,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,250,2691,1989,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
732,732,000579-B26,HUMBER WASTEWATER TP - ACCESS HOUSE NO. 10 BY FINAL TANK 13,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,25,269,1978,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
733,733,000579-B24,HUMBER WASTEWATER TP - MAIN SUBSTATION,130 THE QUEENSWAY,ETOBICOKE,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,990,10656,2014,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
734,734,000579-B43,HUMBER WASTEWATER TP - DIGESTER 6 ROOF ACCESS HOUSE,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,8,81,2009,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
735,735,005855-B03,TODMORDEN MILLS RD SEWAGE PUMPING STATION (UNDERGROUND),30 TODMORDEN MILLS RD,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Pumping Station - Underground,City Use,Toronto Water,Toronto Water,City of Toronto,7,78,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3603393458001, 43.6858062472079]]}"
736,736,007347-B01,BLOORDALE COMMUNITY SCHOOL,10 TOLEDO RD,ETOBICOKE,Etobicoke Centre,Toronto (Amal),West,Other Organizations,Community Centre,City Use,Toronto District School Board,Toronto District School Board,Toronto District School Board,267,2874,,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5719465300651, 43.6391456489153]]}"
737,737,004301-B07,TORYORK YARD - PARKS STORAGE SHED,27 TORYORK DR,TORONTO,Humber River-Black Creek,Toronto (Amal),West,Citizen-Focused Services Group A,Yard Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,39,420,,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5458676472346, 43.7535954738158]]}"
738,738,004301-B04,TORYORK YARD - PARKS OFFICES & GARAGE,27 TORYORK DR,TORONTO,Humber River-Black Creek,North York,West,Citizen-Focused Services Group A,Garage & Office,Potentially Surplus,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,1932,20796,1992,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5458676472346, 43.7535954738158]]}"
739,739,005468-B01,VICTORIA PARK TRANSFER STATION,3350 VICTORIA PARK AVE,TORONTO,Don Valley North,Metro Toronto,North,Citizen-Focused Services Group B,Transfer Station,City Use,Solid Waste Management,Solid Waste Management,City of Toronto,7800,83959,1979,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.337293233905, 43.8031603781244]]}"
740,740,005468-B02,VICTORIA PARK TRANSFER STATION - WEIGH SCALE OFFICE,3350 VICTORIA PARK AVE,TORONTO,Don Valley North,Metro Toronto,North,Citizen-Focused Services Group B,Weigh Scale Building,City Use,Solid Waste Management,Solid Waste Management,City of Toronto,25,269,1979,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.337293233905, 43.8031603781244]]}"
741,741,007752-B01,LEASED SPACE FOR CONSTITUENCY OFFICE (MANTAS),"3601 VICTORIA PARK AVE, U406",SCARBOROUGH,Scarborough-Agincourt,None,East,None,Commercial Building,City Use,Commercial Firm,Commercial Firm,THIRD PARTY,170,1829,1988,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3356854771953, 43.803648692891]]}"
742,742,001670-B02,TORONTO PUBLIC HEALTH HEADQUARTERS BUILDING,277 VICTORIA ST,TORONTO,Toronto Centre,Toronto (Old),South,None,Office Building - Large,City Use,Commercial Firm,Facilities Management & Real Estate Services,THIRD PARTY,10349,111394,1990,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3793385826187, 43.6565589127997]]}"
743,743,005104-B02,SINGLE FAMILY DETACHED,222 STRATHEARN RD,TORONTO,Toronto-St. Paul's,Metro Toronto,South,Internal Services Group,Residential House,Sell Abutting Owner,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,91,982,1929,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4342937730358, 43.6985847948078]]}"
